Semester,Course ID,Course Name,Instructor,Enrollment,Max Capacity,Offered,A,B,C,D,F,Classroom Location,Class Capacity,Distance to IMU (m),Distance to Wells Library (m),Distance to Luddy Hall (m),Distance to Sample Gates (m),Latitude,Longitude,Preferred Location,Preferred Location Latitude,Preferred Location Longitude,Topics,Keywords,Class Start Time,Preferred Location Time
2018 Fall,INFO-I137,Course 37,Dr. Jones,75,100,TRUE,32,24,9,10,0,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,Union Street,39.17137812,-86.50945125,Software Engineering,"testing, debugging, agile, programming, software design",15:35,15:45
2018 Fall,INFO-I138,Course 38,Dr. Johnson,0,0,FALSE,0,0,0,0,0,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,Collins,39.1708,-86.5237,Software Engineering,"debugging, programming, software design, testing, agile",12:32,12:42
2018 Fall,INFO-I139,Course 39,Dr. Jones,42,100,TRUE,22,9,6,4,1,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,IMU,39.1677,-86.5237,Data Science,"visualization, machine learning, statistics, data analysis, big data",16:56,17:03
2018 Fall,INFO-I140,Course 40,Dr. Brown,94,100,TRUE,51,4,17,18,4,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,Bookmarket,39.171,-86.5168,Data Science,"visualization, machine learning, big data, statistics, data analysis",16:07,16:17
2018 Fall,INFO-I141,Course 41,Dr. Jones,0,0,FALSE,0,0,0,0,0,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,Bookmarket,39.171,-86.5168,HCI,"user experience, interface design, human factors, usability testing, interaction design",13:15,13:20
2018 Fall,INFO-I142,Course 42,Dr. Brown,141,50,TRUE,61,39,21,6,14,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,IMU,39.1677,-86.5237,HCI,"human factors, usability testing, interface design, user experience, interaction design",14:16,14:25
2018 Fall,INFO-I143,Course 43,Dr. Jones,40,150,TRUE,29,0,3,6,2,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,Wells Library,39.1724,-86.5168,AI/ML,"neural networks, reinforcement learning, deep learning, natural language processing, AI ethics",12:50,12:59
2018 Fall,INFO-I144,Course 44,Dr. Smith,105,100,TRUE,64,5,19,11,6,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,Union Street,39.17137812,-86.50945125,Data Science,"statistics, machine learning, data analysis, visualization, big data",13:11,13:21
2018 Fall,INFO-I145,Course 45,Dr. Johnson,140,100,TRUE,40,33,24,23,20,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Wells Library,39.1724,-86.5168,AI/ML,"natural language processing, AI ethics, deep learning, neural networks, reinforcement learning",19:28,19:33
2018 Fall,INFO-I146,Course 46,Dr. Smith,141,150,TRUE,78,33,0,8,22,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,Collins,39.1708,-86.5237,Cybersecurity,"network security, cyber threats, risk management, encryption, penetration testing",19:36,19:41
2018 Fall,INFO-I147,Course 47,Dr. Jones,54,100,TRUE,16,17,13,6,2,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,IMU,39.1677,-86.5237,HCI,"user experience, human factors, usability testing, interface design, interaction design",11:06,11:12
2018 Fall,INFO-I148,Course 48,Dr. Brown,0,0,FALSE,0,0,0,0,0,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,Union Street,39.17137812,-86.50945125,AI/ML,"neural networks, deep learning, AI ethics, reinforcement learning, natural language processing",09:08,09:16
2018 Fall,INFO-I149,Course 49,Dr. Johnson,11,50,TRUE,6,2,1,1,1,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,Forest,39.16469636,-86.51291367,Information Systems,"cloud computing, networking, enterprise systems, IT management, databases",16:47,16:53
2018 Fall,INFO-I150,Course 50,Dr. Jones,0,0,FALSE,0,0,0,0,0,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,IMU,39.1677,-86.5237,Cybersecurity,"encryption, network security, risk management, penetration testing, cyber threats",10:26,10:34
2019 Fall,INFO-I101,Course 1,Dr. Brown,31,150,TRUE,23,4,3,0,1,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,Forest,39.16469636,-86.51291367,Software Engineering,"testing, software design, agile, programming, debugging",14:58,15:05
2019 Fall,INFO-I102,Course 2,Dr. Jones,96,50,TRUE,30,32,2,16,16,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,Bookmarket,39.171,-86.5168,Software Engineering,"testing, agile, debugging, programming, software design",18:44,18:51
2019 Fall,INFO-I103,Course 3,Dr. Smith,112,150,TRUE,30,27,21,18,16,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,Forest,39.16469636,-86.51291367,Software Engineering,"agile, software design, testing, programming, debugging",14:58,15:07
2019 Fall,INFO-I104,Course 4,Dr. Johnson,0,0,FALSE,0,0,0,0,0,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,Union Street,39.17137812,-86.50945125,Data Science,"statistics, big data, visualization, machine learning, data analysis",12:49,12:58
2019 Fall,INFO-I105,Course 5,Dr. Smith,121,50,TRUE,45,22,18,18,18,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,Forest,39.16469636,-86.51291367,Software Engineering,"agile, debugging, programming, software design, testing",14:59,15:07
2019 Fall,INFO-I106,Course 6,Dr. Johnson,0,0,FALSE,0,0,0,0,0,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,IMU,39.1677,-86.5237,Data Science,"big data, machine learning, statistics, visualization, data analysis",19:35,19:41
2019 Fall,INFO-I107,Course 7,Dr. Johnson,0,0,FALSE,0,0,0,0,0,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,Union Street,39.17137812,-86.50945125,AI/ML,"AI ethics, deep learning, neural networks, reinforcement learning, natural language processing",16:03,16:11
2019 Fall,INFO-I108,Course 8,Dr. Williams,149,150,TRUE,97,18,9,9,16,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,Wells Library,39.1724,-86.5168,Data Science,"visualization, statistics, machine learning, data analysis, big data",11:43,11:48
2019 Fall,INFO-I109,Course 9,Dr. Smith,113,100,TRUE,62,30,4,6,11,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,IMU,39.1677,-86.5237,Software Engineering,"software design, testing, debugging, agile, programming",19:02,19:11
2019 Fall,INFO-I110,Course 10,Dr. Brown,137,100,TRUE,96,17,4,10,10,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,Forest,39.16469636,-86.51291367,Data Science,"data analysis, machine learning, big data, statistics, visualization",09:37,09:47
2019 Fall,INFO-I111,Course 11,Dr. Brown,105,150,TRUE,84,7,4,3,7,Psychology Building (PY),85,550,350,950,450,39.17251695,-86.52006939,McNutt,39.1763,-86.5202,Cybersecurity,"penetration testing, cyber threats, risk management, encryption, network security",15:36,15:42
2019 Fall,INFO-I112,Course 12,Dr. Smith,76,50,TRUE,46,21,4,5,0,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,Bookmarket,39.171,-86.5168,Data Science,"visualization, machine learning, statistics, big data, data analysis",12:00,12:05
2019 Fall,INFO-I113,Course 13,Dr. Brown,77,100,TRUE,42,12,9,11,3,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,Bookmarket,39.171,-86.5168,AI/ML,"neural networks, AI ethics, reinforcement learning, natural language processing, deep learning",11:18,11:28
2019 Fall,INFO-I114,Course 14,Dr. Jones,0,0,FALSE,0,0,0,0,0,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,Union Street,39.17137812,-86.50945125,Software Engineering,"software design, testing, programming, debugging, agile",11:24,11:33
2019 Fall,INFO-I115,Course 15,Dr. Williams,0,0,FALSE,0,0,0,0,0,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,Bookmarket,39.171,-86.5168,AI/ML,"neural networks, natural language processing, AI ethics, reinforcement learning, deep learning",16:16,16:26
2019 Fall,INFO-I116,Course 16,Dr. Smith,0,0,FALSE,0,0,0,0,0,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,McNutt,39.1763,-86.5202,Software Engineering,"agile, testing, programming, debugging, software design",15:57,16:03
2019 Fall,INFO-I117,Course 17,Dr. Williams,62,50,TRUE,32,3,15,2,10,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,IMU,39.1677,-86.5237,AI/ML,"deep learning, AI ethics, reinforcement learning, neural networks, natural language processing",14:40,14:45
2019 Fall,INFO-I118,Course 18,Dr. Jones,18,100,TRUE,7,4,1,3,3,Psychology Building (PY),85,550,350,950,450,39.17251695,-86.52006939,IMU,39.1677,-86.5237,AI/ML,"AI ethics, reinforcement learning, neural networks, natural language processing, deep learning",16:42,16:48
2019 Fall,INFO-I119,Course 19,Dr. Williams,0,0,FALSE,0,0,0,0,0,Psychology Building (PY),85,550,350,950,450,39.17251695,-86.52006939,McNutt,39.1763,-86.5202,Data Science,"machine learning, big data, data analysis, statistics, visualization",09:30,09:35
2019 Fall,INFO-I120,Course 20,Dr. Johnson,0,0,FALSE,0,0,0,0,0,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,McNutt,39.1763,-86.5202,Software Engineering,"programming, agile, testing, debugging, software design",09:43,09:53
2019 Fall,INFO-I121,Course 21,Dr. Williams,30,150,TRUE,12,8,6,1,3,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,Luddy Hall,39.17288318,-86.52334277,AI/ML,"AI ethics, deep learning, neural networks, reinforcement learning, natural language processing",10:04,10:09
2019 Fall,INFO-I122,Course 22,Dr. Johnson,0,0,FALSE,0,0,0,0,0,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Read,39.16622221,-86.51488147,Data Science,"statistics, visualization, machine learning, big data, data analysis",17:21,17:27
2019 Fall,INFO-I123,Course 23,Dr. Jones,137,100,TRUE,91,20,0,6,20,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,Luddy Hall,39.17288318,-86.52334277,Software Engineering,"programming, agile, software design, debugging, testing",14:25,14:34
2019 Fall,INFO-I124,Course 24,Dr. Smith,0,0,FALSE,0,0,0,0,0,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,Forest,39.16469636,-86.51291367,Software Engineering,"testing, software design, debugging, agile, programming",09:38,09:46
2019 Fall,INFO-I125,Course 25,Dr. Brown,0,0,FALSE,0,0,0,0,0,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,IMU,39.1677,-86.5237,Data Science,"statistics, visualization, data analysis, machine learning, big data",19:57,20:06
2019 Fall,INFO-I126,Course 26,Dr. Smith,0,0,FALSE,0,0,0,0,0,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,Luddy Hall,39.17288318,-86.52334277,Data Science,"machine learning, big data, statistics, data analysis, visualization",18:04,18:14
2019 Fall,INFO-I127,Course 27,Dr. Williams,0,0,FALSE,0,0,0,0,0,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,Wells Library,39.1724,-86.5168,Software Engineering,"debugging, agile, programming, testing, software design",16:22,16:29
2019 Fall,INFO-I128,Course 28,Dr. Williams,116,150,TRUE,68,25,1,20,2,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,Forest,39.16469636,-86.51291367,Cybersecurity,"encryption, cyber threats, network security, risk management, penetration testing",11:31,11:41
2019 Fall,INFO-I129,Course 29,Dr. Williams,64,150,TRUE,27,13,2,12,10,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,Forest,39.16469636,-86.51291367,AI/ML,"AI ethics, neural networks, natural language processing, deep learning, reinforcement learning",09:20,09:28
2019 Fall,INFO-I130,Course 30,Dr. Jones,41,50,TRUE,28,5,4,0,4,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,Collins,39.1708,-86.5237,Information Systems,"databases, cloud computing, IT management, enterprise systems, networking",11:27,11:34
2019 Fall,INFO-I131,Course 31,Dr. Brown,0,0,FALSE,0,0,0,0,0,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,IMU,39.1677,-86.5237,HCI,"user experience, interface design, interaction design, usability testing, human factors",15:16,15:25
2019 Fall,INFO-I132,Course 32,Dr. Brown,0,0,FALSE,0,0,0,0,0,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,Read,39.16622221,-86.51488147,AI/ML,"neural networks, AI ethics, reinforcement learning, deep learning, natural language processing",13:03,13:12
2019 Fall,INFO-I133,Course 33,Dr. Smith,51,100,TRUE,33,0,9,6,3,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,Union Street,39.17137812,-86.50945125,AI/ML,"AI ethics, deep learning, neural networks, reinforcement learning, natural language processing",13:02,13:11
2019 Fall,INFO-I134,Course 34,Dr. Jones,66,50,TRUE,30,18,5,8,5,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,Collins,39.1708,-86.5237,AI/ML,"AI ethics, deep learning, reinforcement learning, natural language processing, neural networks",12:07,12:14
2019 Fall,INFO-I135,Course 35,Dr. Johnson,103,150,TRUE,58,20,6,7,12,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,Union Street,39.17137812,-86.50945125,Cybersecurity,"penetration testing, encryption, risk management, cyber threats, network security",16:52,17:02
2019 Fall,INFO-I136,Course 36,Dr. Williams,74,100,TRUE,38,14,9,13,0,Psychology Building (PY),85,550,350,950,450,39.17251695,-86.52006939,McNutt,39.1763,-86.5202,Software Engineering,"software design, agile, programming, debugging, testing",16:31,16:41
2019 Fall,INFO-I137,Course 37,Dr. Brown,146,50,TRUE,71,34,2,28,11,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,Union Street,39.17137812,-86.50945125,Software Engineering,"testing, agile, software design, programming, debugging",16:29,16:35
2019 Fall,INFO-I138,Course 38,Dr. Brown,0,0,FALSE,0,0,0,0,0,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,IMU,39.1677,-86.5237,Data Science,"statistics, big data, machine learning, visualization, data analysis",09:50,09:58
2019 Fall,INFO-I139,Course 39,Dr. Johnson,0,0,FALSE,0,0,0,0,0,Psychology Building (PY),85,550,350,950,450,39.17251695,-86.52006939,McNutt,39.1763,-86.5202,Data Science,"visualization, data analysis, big data, statistics, machine learning",18:38,18:48
2019 Fall,INFO-I140,Course 40,Dr. Johnson,101,50,TRUE,61,33,2,2,3,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,Forest,39.16469636,-86.51291367,AI/ML,"AI ethics, neural networks, deep learning, natural language processing, reinforcement learning",09:07,09:17
2019 Fall,INFO-I141,Course 41,Dr. Jones,0,0,FALSE,0,0,0,0,0,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,Read,39.16622221,-86.51488147,Software Engineering,"testing, debugging, programming, software design, agile",14:01,14:11
2019 Fall,INFO-I142,Course 42,Dr. Jones,134,150,TRUE,60,23,10,20,21,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,Forest,39.16469636,-86.51291367,Software Engineering,"programming, testing, agile, software design, debugging",18:41,18:48
2019 Fall,INFO-I143,Course 43,Dr. Brown,45,50,TRUE,35,1,4,5,0,Psychology Building (PY),85,550,350,950,450,39.17251695,-86.52006939,Union Street,39.17137812,-86.50945125,HCI,"interaction design, usability testing, human factors, interface design, user experience",19:08,19:16
2019 Fall,INFO-I144,Course 44,Dr. Johnson,37,100,TRUE,8,11,9,4,5,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,Luddy Hall,39.17288318,-86.52334277,Data Science,"data analysis, machine learning, big data, statistics, visualization",15:18,15:25
2019 Fall,INFO-I145,Course 45,Dr. Johnson,0,0,FALSE,0,0,0,0,0,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,Wells Library,39.1724,-86.5168,Data Science,"statistics, big data, data analysis, machine learning, visualization",17:08,17:16
2019 Fall,INFO-I146,Course 46,Dr. Smith,0,0,FALSE,0,0,0,0,0,Psychology Building (PY),85,550,350,950,450,39.17251695,-86.52006939,Forest,39.16469636,-86.51291367,Software Engineering,"programming, debugging, software design, testing, agile",17:58,18:08
2019 Fall,INFO-I147,Course 47,Dr. Brown,130,50,TRUE,67,17,28,14,4,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Bookmarket,39.171,-86.5168,Information Systems,"IT management, databases, enterprise systems, networking, cloud computing",15:46,15:54
2019 Fall,INFO-I148,Course 48,Dr. Smith,70,50,TRUE,43,2,4,13,8,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,Luddy Hall,39.17288318,-86.52334277,Cybersecurity,"penetration testing, encryption, risk management, network security, cyber threats",10:33,10:40
2019 Fall,INFO-I149,Course 49,Dr. Jones,0,0,FALSE,0,0,0,0,0,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,McNutt,39.1763,-86.5202,Information Systems,"enterprise systems, IT management, networking, cloud computing, databases",19:44,19:52
2019 Fall,INFO-I150,Course 50,Dr. Williams,0,0,FALSE,0,0,0,0,0,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Bookmarket,39.171,-86.5168,Software Engineering,"programming, software design, testing, debugging, agile",16:19,16:28
2020 Fall,INFO-I101,Course 1,Dr. Smith,148,100,TRUE,88,45,1,7,7,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,Read,39.16622221,-86.51488147,Information Systems,"enterprise systems, IT management, databases, cloud computing, networking",15:58,16:04
2020 Fall,INFO-I102,Course 2,Dr. Johnson,60,100,TRUE,37,9,7,1,6,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Collins,39.1708,-86.5237,AI/ML,"AI ethics, deep learning, natural language processing, neural networks, reinforcement learning",12:57,13:05
